No
6,R
83,B
47,R
133,B
4,R
7,B
3,R
14,B
60,R
12,B
32,R
56,B
5,R
85,B
11,R
54,B
36,R
43,B
17,R
27,B
20,R
101,B
25,R
125,B
24,R
153,B
93,R
33,B
29,R
19,B
26,R
2,B
15,R
91,B
100,R
77,B
21,R
63,B
42,R
124,B
136,R
147,B
40,R
57,B
76,R
46,B
39,R
50,B
70,R
59,B
13,R
68,B
9,R
41,B
8,R
22,B
96,R
74,B
31,R
102,B
115,R
105,B
51,R
182,B
30,R
103,B
86,R
38,B
10,R
134,B
73,R
167,B
45,R
23,B
89,R
192,B
98,R
81,B
466,R
16,B
53,R
181,B
72,R
80,B
117,R
145,B
97,R
55,B
104,R
128,B
129,R
356,B
69,R
179,B
171,R
141,B
92,R
156,B
37,R
88,B
64,R
143,B
152,R
52,B
186,R
155,B
87,R
209,B
65,R
142,B
75,R
110,B
149,R
230,B
94,R
200,B
82,R
277,B
106,R
173,B
116,R
204,B
206,R
187,B
148,R
242,B
95,R
216,B
118,R
174,B
119,R
49,B
114,R
218,B
130,R
258,B
160,R
223,B
48,R
122,B
112,R
90,B
120,R
198,B
78,R
132,B
185,R
212,B
58,R
396,B
172,R
175,B
135,R
241,B
719,R
217,B
199,R
310,B
108,R
201,B
183,R
99,B
207,R
67,B
323,R
220,B
154,R
109,B
111,R
195,B
107,R
235,B
197,R
203,B
215,R
285,B
84,R
297,B
176,R
79,B
329,R
265,B
146,R
287,B
139,R
253,B
222,R
225,B
161,R
210,B
180,R
158,B
232,R
238,B
157,R
252,B
168,R
279,B
123,R
275,B
245,R
208,B
191,R
429,B
249,R
316,B
162,R
256,B
263,R
335,B
188,R
344,B
177,R
269,B
144,R
380,B
126,R
295,B
140,R
281,B
159,R
332,B
214,R
333,B
178,R
315,B
224,R
416,B
244,R
234,B
438,R
229,B
636,R
266,B
190,R
346,B
239,R
34,B
150,R
369,B
219,R
318,B
246,R
166,B
259,R
226,B
539,R
267,B
288,R
365,B
243,R
325,B
205,R
138,B
289,R
394,B
193,R
398,B
268,R
307,B
227,R
127,B
331,R
324,B
340,R
28,B
257,R
248,B
276,R
66,B
424,R
368,B
165,R
317,B
228,R
194,B
251,R
211,B
372,R
389,B
240,R
391,B
189,R
337,B
231,R
540,B
254,R
426,B
319,R
327,B
264,R
371,B
270,R
62,B
250,R
338,B
286,R
383,B
304,R
121,B
282,R
308,B
169,R
339,B
163,R
330,B
334,R
432,B
164,R
415,B
236,R
402,B
271,R
299,B
261,R
403,B
291,R
296,B
290,R
137,B
352,R
470,B
184,R
452,B
283,R
417,B
348,R
345,B
508,R
447,B
355,R
489,B
255,R
436,B
292,R
405,B
341,R
381,B
202,R
400,B
213,R
294,B
306,R
350,B
273,R
272,B
392,R
303,B
293,R
221,B
354,R
453,B
312,R
414,B
280,R
237,B
314,R
44,B
374,R
522,B
298,R
485,B
363,R
449,B
422,R
454,B
247,R
499,B
311,R
440,B
321,R
367,B
370,R
435,B
262,R
457,B
233,R
491,B
384,R
510,B
301,R
406,B
558,R
501,B
496,R
456,B
322,R
461,B
423,R
386,B
326,R
531,B
302,R
503,B
328,R
425,B
313,R
441,B
373,R
428,B
351,R
478,B
404,R
575,B
357,R
526,B
359,R
170,B
451,R
505,B
305,R
300,B
378,R
507,B
274,R
460,B
361,R
388,B
1069,R
494,B
342,R
601,B
376,R
151,B
420,R
578,B
336,R
516,B
382,R
581,B
377,R
364,B
360,R
528,B
343,R
557,B
468,R
427,B
509,R
498,B
407,R
544,B
816,R
649,B
399,R
551,B
353,R
560,B
395,R
678,B
320,R
562,B
387,R
113,B
390,R
543,B
397,R
513,B
393,R
549,B
520,R
379,B
514,R
564,B
455,R
530,B
411,R
519,B
430,R
532,B
362,R
612,B
448,R
553,B
444,R
541,B
445,R
492,B
410,R
639,B
458,R
421,B
385,R
597,B
472,R
518,B
462,R
654,B
408,R
566,B
523,R
547,B
412,R
546,B
375,R
637,B
583,R
632,B
443,R
743,B
464,R
603,B
587,R
561,B
504,R
358,B
693,R
71,B
